#Kestrel 4000 weather meter data gathered in Vonore, TN, USA, on 21 Aug 2017
#Data collected by Massey Bartolini
DT,WS,TP,WC,RH,HI,DP,WB,BP,AL,DA
s,mph,∞F,∞F,%,∞F,∞F,∞F,mb,ft,ft
556647560,0.0,90.6,90.5,47.7,96.8,68.0,74.3,989.3,784,3110
556647565,0.0,90.7,90.7,47.9,97.3,68.2,74.5,989.4,784,3117
556647570,0.0,90.6,90.5,47.7,96.8,68.0,74.3,989.4,784,3110
556647575,0.0,90.5,90.5,47.6,96.8,67.9,74.3,989.4,781,3105
556647580,0.0,90.7,90.7,47.6,97.2,68.0,74.5,989.4,784,3120
556647585,0.0,90.5,90.5,47.5,96.8,67.8,74.3,989.4,781,3095
556647590,0.0,90.7,90.7,47.6,97.2,68.0,74.5,989.3,784,3120
556647595,0.0,90.6,90.5,47.7,96.8,68.0,74.3,989.4,781,3105
556647600,0.0,90.8,90.9,48.3,98.1,68.6,74.8,989.4,784,3130
556647605,0.0,91.0,91.0,49.2,98.8,69.3,75.2,989.4,784,3145
556647610,0.0,91.1,91.0,49.4,99.0,69.5,75.4,989.2,787,3158
556647615,0.0,91.3,91.2,49.5,99.3,69.7,75.7,989.6,779,3161
556647620,0.0,91.4,91.4,49.4,99.7,69.8,75.7,989.3,787,3181
556647625,0.0,91.4,91.4,48.9,99.3,69.5,75.6,989.3,787,3178
556647630,0.0,91.7,91.6,49.0,99.9,69.8,75.7,989.4,784,3191
556647635,0.0,91.5,91.6,49.2,99.9,69.8,75.7,989.3,784,3183
556647640,0.0,91.8,91.8,49.2,100.2,70.0,75.9,989.3,787,3204
556647645,0.0,91.9,91.9,49.8,100.9,70.5,76.3,989.3,787,3222
556647650,0.0,91.9,91.9,50.0,101.1,70.5,76.3,989.3,787,3219
556647655,0.0,91.8,91.8,49.6,100.6,70.2,76.1,989.4,784,3206
556647660,0.0,92.0,91.9,49.2,100.8,70.2,76.1,989.2,790,3222
556647665,0.0,92.0,91.9,48.6,100.4,69.8,75.9,989.1,792,3224
556723357,0.0,87.1,87.1,49.6,91.0,66.0,72.0,948.5,1943,4296
556723362,0.0,86.8,86.9,49.5,90.5,65.7,71.8,946.4,2000,4349
